ID,Tipo,Localização,Quant. Quarto,Quant. Banheiro,Quant. Suite,Quant. Vagas Garagem,Area Total,Preço de Venda,Preço de aluguel
69918379,CASA,SANTANA II - SANTA RITA DO SAPUCAÍ/MG,3,2,1,2,300,"R$ 1.100,00",
2458644,CHACARA,Proximo ao balaio - Santa Rita do Sapucai/MG,,,,,1000,"R$ 30.000,00",
68744642,TERRENO,JARDIM INTERLAGOS - SANTA RITA DO SAPUCAI/MG,,,,,250,Valor sob consulta,
4588211,TERRENO,SANTANA II - santa rita do sapucaí/MG,,,,,300,"R$ 63.000,00",
68578026,CHACARA,SAO JOSE - SANTA RITA DO SAPUCAI/MG,,,,,1000,"R$ 75.000,00",
2598969,TERRENO,Loteamento do vale - Santa Rita do Sapucai/MG,,,,,2184,"R$ 75.000,00",
68577821,CHACARA,Bairro Sao Jose - SANTA RITA DO SAPUCAI/MG,,,,,1000,"R$ 75.000,00",
68577851,CHACARA,Bairro Sao Jose - SANTA RITA DO SAPUCAI/MG,,,,,1000,"R$ 75.000,00",
68876433,CHACARA,SAO JOSE - SANTA RITA DO SAPUCAI/MG,,,,,1000,"R$ 75.000,00",
34257835,TERRENO,SANTANA II - santa rita do sapucai/MG,,,,,237,"R$ 75.000,00",
3476574,TERRENO,Santana II - Santa Rita do Sapucai/MG,,,,,300,"R$ 80.000,00",
4498133,CHACARA,Sao jose - Santa Rita do Sapucai/MG,,,,,1000,"R$ 80.000,00",
67725841,TERRENO,SANTANA II - Santa Rita do Sapucai/MG,,,,,254,"R$ 85.000,00",
68226880,TERRENO,Monte Libano - Santa Rita do Sapucaí/MG,,,,,250,"R$ 85.000,00",
2213616,TERRENO,SANTANA II - Santa Rita do Sapucai/MG,,,,,300,"R$ 87.000,00",
68167725,TERRENO,SANTANA II - Santa Rita do Sapucaí/MG,,,,,300,"R$ 88.000,00",
68779158,TERRENO,Portal do Sol - SANTA RITA DO SAPUCAI/MG,,,,,350,"R$ 88.000,00",
68179549,TERRENO,SANTANA II - Santa Rita do Sapucaí/MG,,,,,300,"R$ 90.000,00",
67804306,TERRENO,SANTANA II - Santa Rita do Sapucai/MG,,,,,300,"R$ 93.000,00",
69173375,TERRENO,JARDIM BEIRA RIO - SANTA RITA DO SAPUCAI/MG,,,,,200,"R$ 94.000,00",
34257809,TERRENO,SANTANA II - santa rita do sapucaí/MG,,,,,300,"R$ 95.000,00",
68981023,TERRENO,JARDIM DOS ESTADOS - SANTA RITA DO SAPUCAI/MG,,,,,210,"R$ 95.000,00",
69535646,TERRENO,VIANNA - SANTA RITA DO SAPUCAI/MG,,,,,240,Valor sob consulta,
32025755,TERRENO,Portal do Sol - Santa Rita do Sapucai/MG,,,,,3504,"R$ 100.000,00",
2458892,TERRENO,Loteamento do Vale - Santa Rita do sapucai/MG,,,,,360,"R$ 100.000,00",
3310866,TERRENO,Vianna - Santa Rita do Sapucai/MG,,,,,240,"R$ 100.000,00",
68577754,CHACARA,Bairro São Jose - Santa Rita do Sapucai/MG,,,,,1000,"R$ 105.000,00",
68229739,APARTAMENTO,Monte Libano - Santa Rita do Sapucaí/MG,2,1,,,45,"R$ 108.000,00",
3096288,TERRENO,Monte Belo - Santa Rita do Sapucai/MG,,,,,230,"R$ 110.000,00",
69685511,TERRENO,JARDIM DAS PALMEIRAS - SANTA RITA DO SAPUCAÍ/MG,,,,,200,"R$ 120.000,00",
69275493,TERRENO,PORTAL DO SOL - SANTA RITA DO SAPUCAI/MG,,,,,393,"R$ 120.000,00",
2488523,TERRENO,Vianna - Santa Rita do Sapucai/MG,,,,,240,"R$ 120.000,00",
68428985,APARTAMENTO,Monte Líbano - Santa Rita do Sapucaí/MG,2,1,,1,50,"R$ 125.000,00",
68167600,APARTAMENTO,Jardim Beira Rio - Santa Rita do Sapucaí/MG,2,1,,1,71,"R$ 125.000,00",
69681720,CHACARA,TOCA DA RAPOSA - SANTA RITA DO SAPUCAÍ/MG,,,,,1000,"R$ 130.000,00",
69715680,APARTAMENTO,MARISTELA - SANTA RITA DO SAPUCAÍ/MG,2,1,,1,60,"R$ 130.000,00",
69535600,TERRENO,VIANNA - SANTA RITA DO SAPUCAI/MG,,,,,240,"R$ 130.000,00",
2460580,CASA,Fernandes - Santa Rita do Sapucai/MG,2,1,,,200,"R$ 150.000,00",
4717225,APARTAMENTO,Maristela - Santa Rita do Sapucai/MG,2,1,,1,200,"R$ 158.000,00",
68515287,TERRENO,SANTANA II - SANTA RITA DO SAPUCAI/MG,,,,,606,"R$ 160.000,00",
34122374,TERRENO,SANTANA I - Santa Rita do Sapucaí/MG,,,,,342,"R$ 160.000,00",
4519331,TERRENO,Vila das Fontes - Santa Rita do Sapucai/MG,,,,,574,"R$ 160.000,00",
69863666,TERRENO,SANTANA - SANTA RITA DO SAPUCAÍ/MG,,,,,341,"R$ 160.000,00",
34274641,APARTAMENTO,são jose - santa rita do sapucaí/MG,2,1,1,,519,"R$ 172.500,00",
68414864,APARTAMENTO,Monte Verde - Santa Rita do Sapucaí/MG,2,1,,1,80,"R$ 180.000,00",
67724120,APARTAMENTO,fernandes - santa rita do sapucai/MG,2,1,,1,46,"R$ 180.000,00","R$ 750,00"
69871808,TERRENO,MORADA DO SOL - Santa Rita do Sapucaí/MG,,,,,293,"R$ 185.000,00",
68136813,APARTAMENTO,Jardim Santo Antonio - Santa Rita do Sapucaí/MG,2,,2,1,50,"R$ 185.000,00",
68782996,APARTAMENTO,MONTE LIBANO - SANTA RITA DO SAPUCAI/MG,2,1,,,65,"R$ 185.000,00",
68437224,CASA,FATIMA - SANTA RITA DO SAPUCAI/MG,2,,,5,160,"R$ 195.000,00",
69871812,TERRENO,MORADA DO SOL - SANTA RITA DO SAPUCAÍ/MG,,,,,350,"R$ 195.000,00",
