type,area,bedroom,bathroom,garage,latitude,longitude,bathroom_per_bedroom,price
Apartamento,73.0,2.0,2.0,2.0,-21.777785,-46.619565,1.0,285000.0
Apartamento,308.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,1300000.0
Apartamento,60.0,2.0,1.0,2.0,-21.787361999999998,-46.587752,0.5,240000.0
Apartamento,87.0,3.0,1.0,1.0,-21.808695999999998,-46.576769,0.3333333333333333,300000.0
Casa,500.0,4.0,5.0,3.0,-22.118814999999998,-46.683995,1.25,1800000.0
Apartamento,75.0,2.0,1.0,,-21.808695999999998,-46.576769,0.5,330000.0
Apartamento,85.0,2.0,2.0,2.0,-21.808695999999998,-46.576769,1.0,280000.0
Apartamento,67.0,2.0,1.0,1.0,-19.71708,-45.02453,0.5,268000.0
Apartamento,118.0,4.0,2.0,2.0,-21.808695999999998,-46.576769,0.5,450000.0
Apartamento,127.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,350000.0
Casa,190.0,3.0,2.0,2.0,-19.86055,-43.882504,0.6666666666666666,500000.0
Apartamento,67.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,272500.0
Apartamento,54.0,2.0,1.0,1.0,-22.118814999999998,-46.683995,0.5,180000.0
Apartamento,88.0,3.0,2.0,2.0,-21.808695999999998,-46.576769,0.6666666666666666,330000.0
Casa,672.0,4.0,5.0,6.0,-21.808695999999998,-46.576769,1.25,3000000.0
Casa,270.0,3.0,1.0,1.0,-22.118814999999998,-46.683995,0.3333333333333333,600000.0
Apartamento,80.0,2.0,2.0,1.0,-21.787361999999998,-46.587752,1.0,420000.0
Apartamento,86.0,2.0,2.0,2.0,-21.808695999999998,-46.576769,1.0,380000.0
Apartamento,110.0,3.0,1.0,3.0,-22.118814999999998,-46.683995,0.3333333333333333,680000.0
Casa,369.0,4.0,6.0,4.0,-21.791,-46.588941,1.5,1150000.0
Apartamento,60.0,2.0,1.0,1.0,-22.131971,-46.312564,0.5,170000.0
Apartamento,105.0,2.0,2.0,,-21.808695999999998,-46.576769,1.0,450000.0
Casa,96.0,3.0,1.0,4.0,-23.01291,-49.880990999999995,0.3333333333333333,320000.0
Apartamento,74.0,2.0,2.0,1.0,-21.787361999999998,-46.587752,1.0,400000.0
Apartamento,54.0,1.0,1.0,1.0,-21.808695999999998,-46.576769,1.0,385200.0
Casa,180.0,2.0,2.0,1.0,-22.118814999999998,-46.683995,1.0,325000.0
Apartamento,66.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,250000.0
Apartamento,117.0,3.0,1.0,2.0,-23.519116,-46.406946999999995,0.3333333333333333,250000.0
Apartamento,61.0,2.0,2.0,1.0,-31.751756,-52.377656,1.0,350000.0
Apartamento,167.0,3.0,3.0,3.0,-21.808695999999998,-46.576769,1.0,1200000.0
Apartamento,176.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,500000.0
