id,type,location,area,bedroom,bathroom,garage,condominium,price,latitude,longitude
2518694778,Apartamento,"Rua Comendador Marcos Grilo, 56 - Nossa Senhora da Agonia, Itajubá - MG",70,2,2,1,R$ 150,R$ 330.000,-22.423382,-45.455883
2493439308,Condessa,"Rua José Machado, 127 - Fonte Simao, Campos do Jordão - SP",87,3,2,1,,R$ 800.000,13.910719,100.58795
2496027518,Casa,"Rua Professora Dionésia Maria Lopes - Morro Chic, Itajubá - MG",240,3,3,4,,R$ 750.000,-22.423382,-45.455883
2427767470,Apartamento,"Avenida Doutor Antônio Braga Filho - Varginha, Itajubá - MG",72,2,2,2,R$ 150,R$ 300.000,-22.423382,-45.455883
2509163995,Lote/Terreno,"Avenida Padre Lourenço, 1055 - São Sebastião, Itajubá - MG",840,,,,,R$ 1.260.000,-23.546281,-46.515548
2538314473,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",300,7,7,,,R$ 1.500.000,-22.632778,-45.548337
2538315580,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",250,3,6,4,,R$ 2.300.000,-22.632778,-45.548337
2538314577,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",300,3,6,4,,R$ 1.375.000,-22.632778,-45.548337
2520256478,Residencial,"Avenida Ministro Urbano Marcondes, 99 - Vila Paraiba, Guaratinguetá - SP",149-154,3,3,2,,R$ 1.025.000,-22.809859,-45.190596
2538306572,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",300,3,4,6,,R$ 1.500.000,-22.632778,-45.548337
2538314678,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",400,4,6,4,,R$ 1.990.000,-22.632778,-45.548337
2538617319,Apartamento,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",180,3,2,,,R$ 1.400.000,-22.632778,-45.548337
2538314675,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",280,3,4,2,,R$ 1.590.000,-22.632778,-45.548337
2538901405,Apartamento,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",114,3,3,,,R$ 480.000,-22.632778,-45.548337
2538012039,Apartamento,"Varginha, Itajubá - MG",135,3,3,1,R$ 300,R$ 450.000,-22.13333,-45.53333
